node,betweenness_centrality,closeness_centrality,degree_centrality
aenzo 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aenzo 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
afd-clona 0.25mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
afd-clona 0.5mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
afd-clona 1mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
afdol injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
afrax 0.25 tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
afrax 0.5 tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
agatril 0.25mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
agatril 0.5mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
agipam 1mg tablet,1.052004745655686e-06,0.7050060737804488,0.030534351145038167
balance disorder (loss of balance),0.0017978055148100403,0.34889690154617126,0.05156909524683428
aike t 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
aksitram ef effervescent tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
aksitram ef effervescent tablet orange,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
alam od 12.5mg capsule,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alamflu 0.25mg/20mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
alap 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alark 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alark 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alarm 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alarm forte 0.5 mg/50 mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
alarm plus 0.5 mg/25 mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
albium 10mg tablet,9.819845268302474e-05,0.9658404134185863,0.061068702290076333
unsteadiness,0.00017530497209824694,0.3446839340699149,0.03138190493668563
albiz 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
albiz-fx 0.25mg/20mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
alcalm 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alcalm 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
alcam plus 0.5mg/10mg tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
